Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2923.0,18.0,160.0,2923.0,0.1,3615.0,0.0,0.0,282.7658839225769,,,,,,,,,,,,,,,,,,,,,1744.608653003176,898.3131914056627,3342.5443616985276,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3103.0,19.0,180.0,3103.0,0.1,4975.0,0.0,0.0,301.1812176704407,,,,,,,,,,,,,,,,,,,,,2415.665426663698,1307.8888243835418,4549.274222371058,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3275.0,20.0,172.0,3275.0,0.1,4235.0,0.0,0.0,318.7911276817322,,,,,,,,,,,,,,,,,,,,,2424.8089932696253,1128.0320862347319,3825.580187953346,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,82.0,1.0,82.0,3357.0,0.1,1775.0,0.0,0.0,830.8864686489105,,,,,,,,,,,,,,,,,,,,,824.2691417840113,520.6357814011504,1710.829879302437,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,260.0,2.0,178.0,3535.0,0.1,4445.0,0.0,0.0,849.1903698444366,,,,,,,,,,,,,,,,,,,,,2206.029415551849,1251.0767865213265,4060.4435907697216,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,448.0,3.0,188.0,3723.0,0.1,4595.0,0.0,0.0,868.3466506004333,,,,,,,,,,,,,,,,,,,,,2196.4813327596394,1269.7373341556254,4190.438195393784,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,628.0,4.0,180.0,3903.0,0.1,4285.0,0.0,0.0,887.3643636703491,,,,,,,,,,,,,,,,,,,,,2069.752180149231,1217.5483083376416,3920.2812497914724,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,807.0,5.0,179.0,4082.0,0.1,4340.0,0.0,0.0,905.343248128891,,,,,,,,,,,,,,,,,,,,,2166.075371579843,1297.353974115532,3960.188926150586,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,973.0,6.0,166.0,4248.0,0.1,3845.0,0.0,0.0,922.6581671237946,,,,,,,,,,,,,,,,,,,,,1983.2062621277537,1221.6947924130939,3522.8298974517998,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1147.0,7.0,174.0,4422.0,0.1,4655.0,0.0,0.0,940.8227651119232,,,,,,,,,,,,,,,,,,,,,2099.320655821201,1392.4970129883031,4298.310528633851,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1324.0,8.0,177.0,4599.0,0.1,4600.0,0.0,0.0,958.78391456604,,,,,,,,,,,,,,,,,,,,,2122.661525037062,1257.0351769059762,4232.750177673611,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1496.0,9.0,172.0,4771.0,0.1,4635.0,0.0,0.0,976.2347831726074,,,,,,,,,,,,,,,,,,,,,2145.762471905191,1322.9686274651438,4274.473527413608,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,1684.0,10.0,188.0,4959.0,0.1,4545.0,0.0,0.0,995.2047455310822,,,,,,,,,,,,,,,,,,,,,1984.9827987843564,1288.7937756652973,4180.179412474076,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1852.0,11.0,168.0,5127.0,0.1,3835.0,0.0,0.0,1012.507319688797,,,,,,,,,,,,,,,,,,,,,1542.2092756766365,1122.2426928801638,3583.071401417759,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,2034.0,12.0,182.0,5309.0,0.1,4435.0,0.0,0.0,1031.1067860126495,,,,,,,,,,,,,,,,,,,,,1964.0864584728356,1134.6085835173797,4085.703586026412,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,2216.0,13.0,182.0,5491.0,0.1,5435.0,0.0,0.0,1049.9823150634766,,,,,,,,,,,,,,,,,,,,,2220.2718963452435,1381.3499013872429,5040.987448775269,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,2383.0,14.0,167.0,5658.0,0.1,4710.0,0.0,0.0,1066.65331864357,,,,,,,,,,,,,,,,,,,,,1997.835790792088,1156.2080029489955,4385.127292395218,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,2491.0,15.0,108.0,5766.0,0.1,2225.0,0.0,0.0,1077.958970785141,,,,,,,,,,,,,,,,,,,,,1024.585683497912,592.7360123763599,2118.5797871767927,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,2682.0,16.0,191.0,5957.0,0.1,5010.0,0.0,0.0,1097.6589543819427,,,,,,,,,,,,,,,,,,,,,2265.0176727081794,1173.6581812488196,4586.55013823908,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2807.0,17.0,125.0,6082.0,0.1,2930.0,0.0,0.0,1110.5174236297607,,,,,,,,,,,,,,,,,,,,,1209.9421821811782,816.2063153144237,2784.3230890824275,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2966.0,18.0,159.0,6241.0,0.1,4100.0,0.0,0.0,1126.4578769207,,,,,,,,,,,,,,,,,,,,,1971.6947133387218,1052.9439154035726,3794.0849163268817,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,3102.0,19.0,136.0,6377.0,0.1,3175.0,0.0,0.0,1140.8084802627563,,,,,,,,,,,,,,,,,,,,,1504.1236948901621,805.556951512082,2976.3889790640883,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,3271.0,20.0,169.0,6546.0,0.1,3790.0,0.0,0.0,1158.1843497753143,,,,,,,,,,,,,,,,,,,,,2074.7766173391074,1017.7056069120799,3446.2518090359536,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,176.0,1.0,176.0,6722.0,0.1,4075.0,0.0,0.0,1676.615064382553,,,,,,,,,,,,,,,,,,,,,2094.581927141968,1028.5619084527043,3713.7774218893715,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,366.0,2.0,190.0,6912.0,0.1,4385.0,0.0,0.0,1695.9073514938354,,,,,,,,,,,,,,,,,,,,,2221.8878115506154,1208.8999982928028,3970.7789028321467,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,539.0,3.0,173.0,7085.0,0.1,4290.0,0.0,0.0,1713.6090939044952,,,,,,,,,,,,,,,,,,,,,2268.3495758548984,1212.015926721955,3905.3823827602405,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,588.0,4.0,49.0,7134.0,0.1,840.0,0.0,0.0,1718.6715731620789,,,,,,,,,,,,,,,,,,,,,414.8005071849906,224.32023433004952,821.3165870053592,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,767.0,5.0,179.0,7313.0,0.1,4030.0,0.0,0.0,1737.119841337204,,,,,,,,,,,,,,,,,,,,,1917.8586162310485,1241.2848511775003,3694.087789185225,-29.925099925029997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,950.0,6.0,183.0,7496.0,0.1,3930.0,0.0,0.0,1755.3686316013336,,,,,,,,,,,,,,,,,,,,,2050.302375230566,1228.9026251570992,3561.914933284441,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1127.0,7.0,177.0,7673.0,0.1,4600.0,0.0,0.0,1773.5075781345367,,,,,,,,,,,,,,,,,,,,,2047.3004224408335,1376.2946571150715,4246.115810733631,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1311.0,8.0,184.0,7857.0,0.1,4205.0,0.0,0.0,1792.654135942459,,,,,,,,,,,,,,,,,,,,,1882.313916868625,1126.9566586885535,3866.3831391914186,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
