episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
320,1.0,-1.4228579316548273,-1.7135316402104908,-0.34778164920274357,19.987388540082833,1.6918065368027257,[19.987388540082833, 1.6918065368027257],0.0,False,True,0.8455042356650857,1,16.59809003658851,4074.696,prepare,0.0
320,2.0,-1.4231961827316484,-1.7135305526876836,-0.3385078659775404,-25.0,1.8076199714025205,[-25.0, 1.8076199714025205],5.0,False,True,0.843466539597159,1,16.59809003658851,4074.734,in_progress,0.0
320,3.0,-1.4152737732256977,-1.7114937273558049,0.24406115598197087,-25.0,1.9717798920687317,[-25.0, 1.9717798920687317],5.0,False,True,0.8909761951956551,1,16.59809003658851,4074.832,in_progress,0.0
320,4.0,-1.3891594349421033,-1.7225037272017298,-2.3802426155514693,-25.0,1.1690526940949293,[-25.0, 1.1690526940949293],25.0,False,True,1.049442124861778,1,16.59809003658851,4074.892,in_progress,0.0
320,5.0,-1.3516089226062524,-1.7414535632023835,-6.501738781289243,-25.0,2.871282471698208,[-25.0, 2.871282471698208],25.0,False,True,1.277632095247495,2,16.59809003658851,4074.955,in_progress,0.0
320,6.0,-1.305310152266509,-1.770332111027854,-11.969215421024035,27.0,1.0,[27.0, 1.0],25.0,False,True,1.5595633429063487,2,16.59809003658851,4075.026,in_progress,0.0
320,7.0,-1.2529232941508146,-1.790609377514622,-15.264141366120423,27.0,1.0,[27.0, 1.0],25.0,False,True,1.8772650178843455,2,16.59809003658851,4075.088,in_progress,0.0
320,8.0,-1.1836138927430937,-1.7986682406609231,-13.149007812263479,27.0,1.0,[27.0, 1.0],25.0,False,True,2.29562258543887,3,16.59809003658851,4075.171,in_progress,0.0
320,9.0,-1.1126898419388485,-1.7895963229288467,-7.558944728270674,27.0,1.0,[27.0, 1.0],25.0,False,True,2.7229282030915005,3,16.59809003658851,4075.226,in_progress,0.0
320,10.0,-1.047289222690569,-1.7731090625165806,-1.9137999000773238,10.541927826390925,1.0,[10.541927826390925, 1.0],25.0,False,True,3.114905189018586,3,16.59809003658851,4075.294,in_progress,0.0
320,11.0,-0.9879411571735811,-1.754948079147326,2.7836735256308067,-14.789861373128836,3.296239528520161,[-14.789861373128836, 3.296239528520161],25.0,False,True,3.4702239550685707,3,16.59809003658851,4075.37,in_progress,0.0
320,12.0,-0.9005791687663264,-1.7367034324040884,5.722308949619196,-24.090440448832926,1.1936372217402123,[-24.090440448832926, 1.1936372217402123],25.0,False,True,3.9942775023335755,4,16.59809003658851,4075.416,in_progress,0.0
320,13.0,-0.7945853568711595,-1.7364697471227253,3.8118012056617787,-14.504131697960766,2.4973916929397824,[-14.504131697960766, 2.4973916929397824],25.0,False,True,4.632393994589419,4,16.59809003658851,4075.493,in_progress,0.0
320,14.0,-0.7333322052942609,-1.739889463264646,2.0982628899841034,-25.0,1.5946879838136465,[-25.0, 1.5946879838136465],25.0,False,True,5.001699724514397,4,16.59809003658851,4075.525,in_progress,0.0
320,15.0,-0.631236088058652,-1.7576045228915331,-2.4213562155307153,27.0,3.1545855555415474,[27.0, 3.1545855555415474],25.0,False,True,5.618344611504456,5,16.59809003658851,4075.63,in_progress,0.0
320,16.0,-0.5256864668242879,-1.7753701013277252,-5.099499389724883,7.017634725031435,1.0,[7.017634725031435, 1.0],25.0,False,True,6.255798357547598,5,16.59809003658851,4075.696,in_progress,0.0
320,17.0,-0.4126087623538525,-1.7709118042352059,-2.1036878877506933,26.158554522563684,1.0,[26.158554522563684, 1.0],25.0,False,True,6.9342064831990875,5,16.59809003658851,4075.766,in_progress,0.0
320,18.0,-0.3356594722615959,-1.7621502099911113,0.46439775162616737,-14.563924685081414,3.125458869661446,[-14.563924685081414, 3.125458869661446],25.0,False,True,7.397525337125707,6,16.59809003658851,4075.833,in_progress,0.0
320,19.0,-0.23858693975517797,-1.7447794218042274,4.038163395649035,-22.893918688731063,1.1843008112822067,[-22.893918688731063, 1.1843008112822067],25.0,False,True,7.981807648108898,6,16.59809003658851,4075.9,in_progress,0.0
320,20.0,-0.13686433006746432,-1.740462893825569,3.7577032177228316,-18.58243981332411,1.0,[-18.58243981332411, 1.0],25.0,False,True,8.59381013911272,6,16.59809003658851,4075.955,in_progress,0.0
320,21.0,-0.06148660639764714,-1.7478291078381798,1.0179892811315183,-25.0,1.6557097326667494,[-25.0, 1.6557097326667494],25.0,False,True,9.047606274884256,6,16.59809003658851,4076.033,in_progress,0.0
320,22.0,0.027511335193129732,-1.7651664214069998,-3.137427577996591,-7.349458213783922,2.5303430294528977,[-7.349458213783922, 2.5303430294528977],25.0,False,True,9.583017179706827,7,16.59809003658851,4076.099,in_progress,0.0
320,23.0,0.12547808465226531,-1.7866141607569137,-6.5526624253296655,22.68707840805319,1.1445448360806447,[22.68707840805319, 1.1445448360806447],25.0,False,True,10.166923228646604,7,16.59809003658851,4076.162,in_progress,0.0
320,24.0,0.23965360683898684,-1.7979745464196222,-6.455766994021943,18.82457030903643,1.0,[18.82457030903643, 1.0],25.0,False,True,10.853076298804337,7,16.59809003658851,4076.226,in_progress,0.0
320,25.0,0.32101345572490464,-1.7970030194213011,-4.1864025147964545,-7.399395207359088,1.0,[-7.399395207359088, 1.0],25.0,False,True,11.34325886167191,8,16.59809003658851,4076.285,in_progress,0.0
320,26.0,0.4098169608972446,-1.7905445076430708,-1.3157630605384578,2.369629090101782,3.3,[2.369629090101782, 3.3],25.0,False,True,11.87902655473368,8,16.59809003658851,4076.363,in_progress,0.0
320,27.0,0.4936710316202748,-1.7829795082514948,0.7778595423521126,26.382207798713416,1.0807990657979418,[26.382207798713416, 1.0807990657979418],25.0,False,True,12.38383198915456,8,16.59809003658851,4076.433,in_progress,0.0
320,28.0,0.5753627793976296,-1.7626224780985775,5.08505469721135,-5.705652524746199,2.520958417996388,[-5.705652524746199, 2.520958417996388],25.0,False,True,12.879043777406235,9,16.59809003658851,4076.499,in_progress,0.0
320,29.0,0.6739596670133666,-1.7400006038484241,7.937417143185269,-25.0,1.0,[-25.0, 1.0],25.0,False,True,13.476427197801755,9,16.59809003658851,4076.56,in_progress,0.0
