episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
440,1.0,-1.4229699006474221,-1.7134611748261466,-0.32285953652526295,-6.716657465255739,1.4074407189594738,[-6.716657465255739, 1.4074407189594738],0.0,False,True,0.8448223471553548,1,16.59809003658851,5643.573,prepare,0.0
440,2.0,-1.4231961827316042,-1.7135305526876838,-0.3385078659775404,-25.0,2.334944779688246,[-25.0, 2.334944779688246],5.0,False,True,0.8434665395971587,1,16.59809003658851,5643.643,in_progress,0.0
440,3.0,-1.4128216320839349,-1.7118388486127256,0.16657431013963223,-25.0,2.4286055855690476,[-25.0, 2.4286055855690476],5.0,False,True,0.9057838344796081,1,16.59809003658851,5643.706,in_progress,0.0
440,4.0,-1.385740996787689,-1.7181255917046736,-1.37412664104471,-25.0,1.0,[-25.0, 1.0],25.0,False,True,1.0695745026153856,1,16.59809003658851,5643.783,in_progress,0.0
440,5.0,-1.348085893624386,-1.7333964637629975,-4.692848764003918,19.782421557973045,3.3,[19.782421557973045, 3.3],25.0,False,True,1.2980080905981084,2,16.59809003658851,5643.846,in_progress,0.0
440,6.0,-1.3026218417359738,-1.754885376344577,-8.637308176980655,-1.0858844121298077,1.0,[-1.0858844121298077, 1.0],25.0,False,True,1.57413492041001,2,16.59809003658851,5643.91,in_progress,0.0
440,7.0,-1.2401069121599981,-1.7618928082516798,-8.579407220453021,27.0,1.0,[27.0, 1.0],25.0,False,True,1.9514530079925085,2,16.59809003658851,5643.977,in_progress,0.0
440,8.0,-1.1763986593129994,-1.7546437636034462,-4.8102806234449185,-2.2385838402463385,1.0,[-2.2385838402463385, 1.0],25.0,False,True,2.3344620785022077,3,16.59809003658851,5644.05,in_progress,0.0
440,9.0,-1.1078879953049097,-1.7454303305746781,-1.4222203756894474,1.3062620550463784,3.3,[1.3062620550463784, 3.3],25.0,False,True,2.746574192154901,3,16.59809003658851,5644.103,in_progress,0.0
440,10.0,-1.0316472511384338,-1.744212183847673,-0.678574480632084,9.844429606111724,3.3,[9.844429606111724, 3.3],25.0,False,True,3.205672664489561,3,16.59809003658851,5644.181,in_progress,0.0
440,11.0,-0.9462875443153704,-1.737271385589653,1.0159198565176846,17.360467985057042,2.8514196984136584,[17.360467985057042, 2.8514196984136584],25.0,False,True,3.7190162231389885,4,16.59809003658851,5644.247,in_progress,0.0
440,12.0,-0.8416156685618081,-1.714411456781019,5.568749934860717,-5.375298744384661,1.47086999356167,[-5.375298744384661, 1.47086999356167],5.0,False,True,4.346786089710029,4,16.59809003658851,5644.303,in_progress,0.0
440,13.0,-0.7087199038612757,-1.6853271652101218,8.898114019719825,-25.0,1.7000457005769647,[-25.0, 1.7000457005769647],5.0,False,True,5.145017329804894,4,16.59809003658851,5644.375,in_progress,0.0
440,14.0,-0.6243959975788467,-1.6763771385113864,8.031239469917335,-7.0761313995088315,1.0,[-7.0761313995088315, 1.0],5.0,False,True,5.652181646596049,5,16.59809003658851,5644.445,in_progress,0.0
440,15.0,-0.526220071556242,-1.6767066598123939,4.992052747815952,-25.0,1.8715811999519645,[-25.0, 1.8715811999519645],5.0,False,True,6.24363378518781,5,16.59809003658851,5644.505,in_progress,0.0
440,16.0,-0.423965171693045,-1.6828124463116079,1.6551448920891354,-25.0,2.1631124054571886,[-25.0, 2.1631124054571886],5.0,False,True,6.862992131828699,5,16.59809003658851,5644.58,in_progress,0.0
440,17.0,-0.31904352407179815,-1.7058725460391262,-3.899094303797008,-11.872588724793285,3.3,[-11.872588724793285, 3.3],5.0,False,True,7.495845894358761,6,16.59809003658851,5644.646,in_progress,0.0
440,18.0,-0.19817495204885982,-1.7451719692947478,-10.565711245741758,-19.984685315583775,2.3318728129573887,[-19.984685315583775, 2.3318728129573887],25.0,False,True,8.224227814440855,6,16.59809003658851,5644.7,in_progress,0.0
440,19.0,-0.07342662144264894,-1.8058512770485553,-18.26875675666444,27.0,1.0,[27.0, 1.0],25.0,False,True,8.973100378568788,6,16.59809003658851,5644.77,in_progress,0.0
440,20.0,0.03918612829588276,-1.8685575332880595,-24.83571089122805,27.0,1.0,[27.0, 1.0],25.0,False,True,9.648770757995063,7,16.59809003658851,5644.847,in_progress,0.0
440,21.0,0.13191549956599488,-1.9121123819461407,-26.89210637088902,27.0,1.0,[27.0, 1.0],25.0,False,True,10.188538356005658,7,16.59809003658851,5644.923,in_progress,0.0
440,22.0,0.2403949718079435,-1.952078364615093,-24.490946778477504,27.0,2.646514042639087,[27.0, 2.646514042639087],25.0,False,True,10.836471613835847,7,16.59809003658851,5644.97,in_progress,0.0
440,23.0,0.32362654910021327,-1.9687281287258478,-20.155385720546562,27.0,1.0,[27.0, 1.0],25.0,False,True,11.33551874173507,8,16.59809003658851,5645.046,in_progress,0.0
440,24.0,0.4213512912839854,-1.9742599862320875,-13.768811703698349,27.0,1.0,[27.0, 1.0],25.0,False,True,11.91816201665653,8,16.59809003658851,5645.116,in_progress,0.0
440,25.0,0.5205271996164911,-1.969725194193045,-7.8324061532624505,27.0,1.10290684658673,[27.0, 1.10290684658673],25.0,False,True,12.516185824608156,8,16.59809003658851,5645.164,in_progress,0.0
440,26.0,0.5891418753634033,-1.962767919635759,-4.190229856063756,27.0,1.0,[27.0, 1.0],25.0,False,True,12.930528780954473,9,16.59809003658851,5645.249,in_progress,0.0
440,27.0,0.6696715419919719,-1.9463641284677717,0.6899597852823335,6.086969278042208,3.1945463427443914,[6.086969278042208, 3.1945463427443914],25.0,False,True,13.418119426234416,9,16.59809003658851,5645.311,in_progress,0.0
440,28.0,0.7573600859586899,-1.9266943910535335,4.671597781963789,11.441679207967795,1.0,[11.441679207967795, 1.0],25.0,False,True,13.993592781180809,9,16.59809003658851,5645.379,in_progress,0.0
440,29.0,0.8331804442536787,-1.9038992658400988,8.758354365904058,2.5890871819512142,2.4097616976355125,[2.5890871819512142, 2.4097616976355125],25.0,False,True,14.449232964224784,9,16.59809003658851,5645.453,in_progress,0.0
440,30.0,0.9309713513400986,-1.8760146664663848,11.37876514468489,-15.107400700172295,1.608970170901056,[-15.107400700172295, 1.608970170901056],25.0,False,True,15.036980690527063,10,16.59809003658851,5645.507,in_progress,0.0
440,31.0,1.027563033392474,-1.8620759710539776,10.173670629448754,-8.382104866785482,1.5751436811727384,[-8.382104866785482, 1.5751436811727384],25.0,False,True,15.642779685674387,10,16.59809003658851,5645.579,in_progress,0.0
440,32.0,1.1317868234648534,-1.8589007697974262,6.95144552884682,16.63155593086079,2.0101284268614337,[16.63155593086079, 2.0101284268614337],25.0,False,True,16.269595782532996,10,16.59809003658851,5645.648,in_progress,0.0
440,33.0,1.2508587336557033,-1.8554356091270319,4.768346167727221,-16.938764627440484,1.4942082149450078,[-16.938764627440484, 1.4942082149450078],25.0,False,True,16.98574606298386,11,16.59809003658851,5645.711,in_progress,0.0
440,34.0,1.356305644896209,-1.8504948824476204,3.89085760300031,27.0,1.856399553324644,[27.0, 1.856399553324644],25.0,False,True,17.618166123656113,11,16.59809003658851,5645.781,in_progress,0.0
440,35.0,1.4741946634740675,-1.8447741456856563,3.5644289677621663,-25.0,1.4068367095995538,[-25.0, 1.4068367095995538],25.0,False,True,18.326811791951574,11,16.59809003658851,5645.85,in_progress,0.0
440,36.0,1.5802618623726747,-1.8344130480111087,4.291048681159356,7.302834751143514,1.0855473419298325,[7.302834751143514, 1.0855473419298325],25.0,False,True,18.96331180992718,12,16.59809003658851,5645.917,in_progress,0.0
