episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
340,1.0,-1.4229894745324543,-1.7135453500957474,-0.3245713438028608,-25.0,1.0,[-25.0, 1.0],0.0,False,True,0.8447132779898175,1,16.59809003658851,4354.699,prepare,0.0
340,2.0,-1.4230821145500037,-1.713488608181765,-0.3194689250183649,-25.0,1.9247600012111936,[-25.0, 1.9247600012111936],5.0,False,True,0.8441492662500072,1,16.59809003658851,4354.747,in_progress,0.0
340,3.0,-1.4167718086068055,-1.7162189960348568,-0.832078221515402,-25.0,2.1068230488502175,[-25.0, 2.1068230488502175],25.0,False,True,0.8824485431630977,1,16.59809003658851,4354.828,in_progress,0.0
340,4.0,-1.3945417545352647,-1.7272777203517953,-3.459433103390022,-25.0,2.622164453231294,[-25.0, 2.622164453231294],25.0,False,True,1.0175211523153105,1,16.59809003658851,4354.894,in_progress,0.0
340,5.0,-1.3562929717880197,-1.7495328332693683,-8.193351717391073,-16.889412904509207,2.5092482565050895,[-16.889412904509207, 2.5092482565050895],25.0,False,True,1.2502645893168858,2,16.59809003658851,4354.951,in_progress,0.0
340,6.0,-1.3162779248877856,-1.774852660056121,-12.780272401157537,14.339264182509226,1.0,[14.339264182509226, 1.0],25.0,False,True,1.4939696847503166,2,16.59809003658851,4355.016,in_progress,0.0
340,7.0,-1.2432985280087185,-1.8065998807327892,-16.09268746188163,27.0,1.0,[27.0, 1.0],25.0,False,True,1.9369229771484273,2,16.59809003658851,4355.091,in_progress,0.0
340,8.0,-1.1770497873629007,-1.8155359438384506,-13.925038560346659,-25.0,1.0,[-25.0, 1.0],25.0,False,True,2.3369356479167487,3,16.59809003658851,4355.159,in_progress,0.0
340,9.0,-1.1315810283551575,-1.820847160734523,-12.364463763122199,27.0,1.0,[27.0, 1.0],25.0,False,True,2.6113915892836785,3,16.59809003658851,4355.238,in_progress,0.0
340,10.0,-1.0507993884615419,-1.8340168084715742,-11.348136886969211,27.0,1.0,[27.0, 1.0],25.0,False,True,3.101040640229939,3,16.59809003658851,4355.305,in_progress,0.0
340,11.0,-0.9843714216517201,-1.834946089105718,-8.643474878813333,27.0,1.0,[27.0, 1.0],25.0,False,True,3.501287473513414,3,16.59809003658851,4355.355,in_progress,0.0
340,12.0,-0.896222810750389,-1.822233340089327,-3.0674334927609093,27.0,1.0,[27.0, 1.0],25.0,False,True,4.030740459895785,4,16.59809003658851,4355.433,in_progress,0.0
340,13.0,-0.8433787637536931,-1.8090135094630864,0.6698332561130567,-3.486549327575009,2.1161368281730986,[-3.486549327575009, 2.1161368281730986],25.0,False,True,4.347472128107071,4,16.59809003658851,4355.502,in_progress,0.0
340,14.0,-0.7640836642201856,-1.7931179289874313,3.8279378572717744,-25.0,1.0,[-25.0, 1.0],25.0,False,True,4.821278183627168,4,16.59809003658851,4355.553,in_progress,0.0
340,15.0,-0.39066553258295855,-1.8235146447604105,-5.959579492144071,-25.0,1.8386990124526523,[-25.0, 1.8386990124526523],25.0,False,True,7.0680770388808725,5,16.59809003658851,4355.852,in_progress,0.0
340,16.0,-0.37699979412198237,-1.8276106209538474,-6.641738621318809,25.999853774514627,1.0,[25.999853774514627, 1.0],25.0,False,True,7.150539057974386,5,16.59809003658851,4355.871,in_progress,0.0
340,17.0,-0.31967984629308926,-1.8413543431051824,-8.450696569759796,27.0,1.0,[27.0, 1.0],25.0,False,True,7.496310971123199,6,16.59809003658851,4355.969,in_progress,0.0
340,18.0,-0.24572696584381618,-1.8480407303715136,-7.463300797486902,27.0,1.0,[27.0, 1.0],25.0,False,True,7.942067490118666,6,16.59809003658851,4356.033,in_progress,0.0
340,19.0,-0.15771198477817505,-1.8446335573729882,-4.26803804920274,-25.0,1.0,[-25.0, 1.0],25.0,False,True,8.463593562423176,6,16.59809003658851,4356.105,in_progress,0.0
340,20.0,-0.0954885205859281,-1.8432936128165294,-2.7911813581326377,26.188077085347473,1.0,[26.188077085347473, 1.0],25.0,False,True,8.838526087718922,6,16.59809003658851,4356.163,in_progress,0.0
340,21.0,-0.02726673701837415,-1.8481428025001692,-3.208160246124609,7.017972847607496,1.1676706280390066,[7.017972847607496, 1.1676706280390066],25.0,False,True,9.249321920986562,7,16.59809003658851,4356.228,in_progress,0.0
340,22.0,0.050105864436270506,-1.8433230350069931,-1.1604483256581841,6.671206113388557,1.0,[6.671206113388557, 1.0],25.0,False,True,9.715676579781746,7,16.59809003658851,4356.304,in_progress,0.0
340,23.0,0.12944176495829074,-1.8349968703299124,1.036885011464154,-25.0,2.4456945918740236,[-25.0, 2.4456945918740236],25.0,False,True,10.184182211296662,7,16.59809003658851,4356.355,in_progress,0.0
340,24.0,0.2016294063769389,-1.8329117586547055,1.0855295818835362,-25.0,2.8328366174117585,[-25.0, 2.8328366174117585],25.0,False,True,10.619270642814689,7,16.59809003658851,4356.427,in_progress,0.0
340,25.0,0.2990713910668825,-1.8475387813584394,-2.4893201104574643,-10.774849863591767,1.4941812677919972,[-10.774849863591767, 1.4941812677919972],25.0,False,True,11.204186998506774,8,16.59809003658851,4356.497,in_progress,0.0
340,26.0,0.3923140703767547,-1.8793612676177383,-8.496835726362264,27.0,1.0,[27.0, 1.0],25.0,False,True,11.76145886013289,8,16.59809003658851,4356.552,in_progress,0.0
340,27.0,0.47319334545941455,-1.9056733656833338,-11.7993057475589,23.653682311511673,1.145819081028006,[23.653682311511673, 1.145819081028006],25.0,False,True,12.241188383759743,8,16.59809003658851,4356.623,in_progress,0.0
340,28.0,0.5650000397731513,-1.9215835733550621,-11.10238074033137,27.0,1.0,[27.0, 1.0],25.0,False,True,12.791611346929658,8,16.59809003658851,4356.703,in_progress,0.0
340,29.0,0.648027965838564,-1.926939407101233,-8.685237824387347,27.0,1.0,[27.0, 1.0],25.0,False,True,13.290823385682089,9,16.59809003658851,4356.755,in_progress,0.0
340,30.0,0.7527202628398606,-1.917454922819462,-3.304682920654999,-5.61795517388887,1.6065659027440082,[-5.61795517388887, 1.6065659027440082],25.0,False,True,13.965175442275783,9,16.59809003658851,4356.832,in_progress,0.0
340,31.0,0.802715566768311,-1.9112142970133148,-1.118650746529782,27.0,1.0,[27.0, 1.0],25.0,False,True,14.266062509676509,9,16.59809003658851,4356.887,in_progress,0.0
340,32.0,0.8815102337418858,-1.9013813247965137,1.490419727945012,-24.287876673462716,1.604433683302179,[-24.287876673462716, 1.604433683302179],25.0,False,True,14.740273099908332,10,16.59809003658851,4356.962,in_progress,0.0
340,33.0,0.9812894760095259,-1.892746813848555,2.5551755543531995,16.58211977263182,1.589032963193164,[16.58211977263182, 1.589032963193164],25.0,False,True,15.340967173775125,10,16.59809003658851,4357.02,in_progress,0.0
340,34.0,1.055261091971388,-1.8930707591019946,1.661022147238226,27.0,1.2128000263411636,[27.0, 1.2128000263411636],25.0,False,True,15.816332061689147,10,16.59809003658851,4357.093,in_progress,0.0
340,35.0,1.1369479195238994,-1.8836829146442964,3.0506692938934687,27.0,2.568739914797499,[27.0, 2.568739914797499],25.0,False,True,16.306096897575507,10,16.59809003658851,4357.167,in_progress,0.0
340,36.0,1.235499044960434,-1.8593989309281207,7.192458169459658,-25.0,1.0,[-25.0, 1.0],25.0,False,True,16.894136268135092,11,16.59809003658851,4357.225,in_progress,0.0
340,37.0,1.3756194819773082,-1.8165196353904645,12.613281899582285,27.0,1.2926841515283782,[27.0, 1.2926841515283782],25.0,False,True,17.72740040221743,11,16.59809003658851,4357.294,in_progress,0.0
340,38.0,1.4138440417976201,-1.805922798730415,13.032659712853913,14.655037566670842,2.634915641994241,[14.655037566670842, 2.634915641994241],25.0,False,True,17.955356894070434,11,16.59809003658851,4357.369,in_progress,0.0
340,39.0,1.4982851141881013,-1.770820762953777,16.42014729746175,-15.241542867436463,1.2949211685985595,[-15.241542867436463, 1.2949211685985595],25.0,False,True,18.45650162756804,12,16.59809003658851,4357.415,in_progress,0.0
340,40.0,1.5998248557315322,-1.7261992765415655,19.459558343063424,-8.073195249218262,2.028782188607742,[-8.073195249218262, 2.028782188607742],25.0,False,True,19.058623324878347,12,16.59809003658851,4357.481,in_progress,0.0
340,41.0,1.6823770933124336,-1.697958833708027,19.23180236966923,-11.222068471401421,2.057207599493724,[-11.222068471401421, 2.057207599493724],25.0,False,True,19.557505326200687,12,16.59809003658851,4357.567,in_progress,0.0
340,42.0,1.790544477646997,-1.675601098574906,16.101544965708474,-25.0,1.8923946963833282,[-25.0, 1.8923946963833282],25.0,False,True,20.20872942653807,12,16.59809003658851,4357.621,in_progress,0.0
340,43.0,1.919190184086318,-1.6659885289777583,10.607492827380598,-25.0,1.0,[-25.0, 1.0],25.0,False,True,20.98359140494379,13,16.59809003658851,4357.687,in_progress,0.0
340,44.0,2.0192331923049296,-1.669230954997884,5.853893536955074,27.0,1.0,[27.0, 1.0],5.0,False,True,21.616201170280682,13,16.59809003658851,4357.768,in_progress,0.0
340,45.0,2.1280317602195455,-1.6757405934186649,1.6662313444733392,17.760888808254904,1.0,[17.760888808254904, 1.0],5.0,False,True,22.26738162487763,14,16.59809003658851,4357.823,in_progress,0.0
340,46.0,2.2196156746906146,-1.671214678150333,1.9801641037522038,0.862013446662047,1.3530221333395778,[0.862013446662047, 1.3530221333395778],5.0,False,True,22.819716684339866,14,16.59809003658851,4357.887,in_progress,0.0
340,47.0,2.3049835848463065,-1.6637862605588307,2.902588770200452,-2.6445198055223216,1.0,[-2.6445198055223216, 1.0],5.0,False,True,23.376768919379916,14,16.59809003658851,4357.942,in_progress,0.0
340,48.0,2.383602460740011,-1.657307312335556,3.5570703186138712,-2.3923314507987214,1.0,[-2.3923314507987214, 1.0],5.0,False,True,23.847968247104607,14,16.59809003658851,4358.031,in_progress,0.0
