episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
200,1.0,-1.4230208816206193,-1.713409435530508,-0.3013531486866699,9.013051577072147,1.8933768214796671,[9.013051577072147, 1.8933768214796671],0.0,False,True,0.8445098097026869,1,16.59809003658851,2530.485,prepare,0.0
200,2.0,-1.4231961827316928,-1.7135305526876832,-0.338507865977515,-25.0,1.0,[-25.0, 1.0],5.0,False,True,0.8434665395971578,1,16.59809003658851,2530.538,in_progress,0.0
200,3.0,-1.4185083378967303,-1.71309755815846,-0.14916461517033527,-25.0,1.0,[-25.0, 1.0],5.0,False,True,0.8716600457238861,1,16.59809003658851,2530.615,in_progress,0.0
200,4.0,-1.3959051596507406,-1.720102828321816,-1.8098597670194796,-25.0,1.3861324314913057,[-25.0, 1.3861324314913057],25.0,False,True,1.008554548472158,1,16.59809003658851,2530.683,in_progress,0.0
200,5.0,-1.360731903157126,-1.73380783587758,-4.822785387093962,27.0,2.9925405274703594,[27.0, 2.9925405274703594],25.0,False,True,1.2218733325947926,2,16.59809003658851,2530.741,in_progress,0.0
200,6.0,-1.301522572064618,-1.7405023509119053,-4.855563424425802,27.0,2.1130630136891364,[27.0, 2.1130630136891364],25.0,False,True,1.5792460440999319,2,16.59809003658851,2530.821,in_progress,0.0
200,7.0,-1.2527107738632086,-1.725511822362166,-0.4151890495154441,19.90985757878162,3.3,[19.90985757878162, 3.3],25.0,False,True,1.8717076140475182,2,16.59809003658851,2530.887,in_progress,0.0
200,8.0,-1.1834965784311722,-1.6905295652250758,7.749505926106816,-13.97522006131726,2.4640303832922488,[-13.97522006131726, 2.4640303832922488],5.0,False,True,2.284970797465928,3,16.59809003658851,2530.945,in_progress,0.0
200,9.0,-1.1064544121918192,-1.6527875774437222,13.939035824563355,-25.0,1.0207757671828346,[-25.0, 1.0207757671828346],5.0,False,True,2.7441374662739944,3,16.59809003658851,2531.015,in_progress,0.0
200,10.0,-1.0238482183381636,-1.6284581907118851,15.024591162654525,-13.0685493280084,1.0483238820065635,[-13.0685493280084, 1.0483238820065635],5.0,False,True,3.238816781290274,3,16.59809003658851,2531.077,in_progress,0.0
200,11.0,-0.9301762545658363,-1.6125776328207841,13.062240766219647,-14.539679370782876,1.272536747806126,[-14.539679370782876, 1.272536747806126],5.0,False,True,3.8011616625039233,4,16.59809003658851,2531.147,in_progress,0.0
200,12.0,-0.8530173648393323,-1.605747328776881,10.628506513347782,-13.282514213786909,1.366420162204106,[-13.282514213786909, 1.366420162204106],5.0,False,True,4.265119951414046,4,16.59809003658851,2531.223,in_progress,0.0
200,13.0,-0.7711310917000883,-1.6040215831815239,7.7220937198764,-17.834959675903377,2.0103032034297583,[-17.834959675903377, 2.0103032034297583],5.0,False,True,4.76167018662997,4,16.59809003658851,2531.282,in_progress,0.0
200,14.0,-0.6837885360951236,-1.6075785128115443,4.377276162761196,-25.0,1.0,[-25.0, 1.0],5.0,False,True,5.288153715356893,4,16.59809003658851,2531.346,in_progress,0.0
200,15.0,-0.5890804804549087,-1.6234845339661308,-0.6196165876826609,-9.291355621567444,1.0,[-9.291355621567444, 1.0],5.0,False,True,5.860128027780211,5,16.59809003658851,2531.417,in_progress,0.0
200,16.0,-0.49330772600079265,-1.6340710853840872,-2.623617479193886,-19.058996309128965,1.4342229676725715,[-19.058996309128965, 1.4342229676725715],5.0,False,True,6.4436771012551715,5,16.59809003658851,2531.481,in_progress,0.0
